id;name;zip;region;city;city_coordinates;address
111917738851;Oxygender;125475;Москва и Московская область;Москва;;Зеленоградская ул., 31, корп. 2, Москва, Россия
26995340979;X-case;192102;Санкт-Петербург и Ленинградская область;Санкт-Петербург;;Волковский просп., 32
111917738851;Oxygender;125475;Москва и Московская область;Москва;;Зеленоградская ул., 31, корп. 2, Москва, Россия
112935809275;Сервисный центр Pc-centr;195030;Санкт-Петербург и Ленинградская область;Санкт-Петербург;;просп. Наставников, 35, корп. 1, Санкт-Петербург, Россия
130750373450;Good mobi;;Москва и Московская область;Котельники;;9, стр. 1, микрорайон Опытное Поле, Котельники, Россия
114478979095;Сервисный центр Xiaomi Redmi;111024;Москва и Московская область;Москва;;Авиамоторная ул., 8, Москва, Россия
219980021052;YourMobile;127560;Москва и Московская область;Москва;;ул. Плещеева, 3, Москва, Россия
83265187132;Симка;141005;Москва и Московская область;Мытищи;;2-я Институтская ул., 26, Мытищи, Россия
161357219877;Ремонт Телефонов, планшетов, ноутбуков и другой техники;111524;Москва и Московская область;Москва;;Электродная ул., 2, стр. 34, Москва, Россия
1870277559;Dr-service;141006;Москва и Московская область;Мытищи;;Шараповский пр., 11, Мытищи, Россия
92995215630;МС Сервис-центр;119526;Москва и Московская область;Москва;;ул. 26-ти Бакинских Комиссаров, 14, Москва, Россия
61467471835;Fix electronics;142502;Москва и Московская область;Павловский Посад;;Большая Покровская ул., 40А, Павловский Посад, Россия
1625069397;Full case;140081;Москва и Московская область;Лыткарино;;Парковая ул., с2, Лыткарино, Россия
166966174939;Техно Сервис Ремонт;141730;Москва и Московская область;Лобня;;ул. Крупской, 18В, Лобня, Россия
96762514856;RePhone;121108;Москва и Московская область;Москва;;ул. Герасима Курина, 20, Москва, Россия
1673504478;AppleCenter;143005;Москва и Московская область;Одинцово;;Можайское ш., 66Б, Одинцово, Россия
69851611998;Ремонт компьютера;107564;Москва и Московская область;Москва;;Погонный пр., 3А, корп. 5
149016592232;Сервисный центр;141406;Москва и Московская область;Химки;;Библиотечная ул., 22, Химки, Россия
1554226927;Ай: Сервис 24;115114;Москва и Московская область;Москва;;Кожевническая ул., 1, стр. 1, Москва, Россия
36626003942;Скупка Телефонов и Ноутбуков;197349;Санкт-Петербург и Ленинградская область;Санкт-Петербург;;просп. Испытателей, 33, Санкт-Петербург, Россия
211700291080;Excellent Master;121471;Москва и Московская область;Москва;;Можайское ш., 9, Москва, Россия
1407713352;Maximum;192171;Санкт-Петербург и Ленинградская область;Санкт-Петербург;;пер. Матюшенко, 8, Санкт-Петербург, Россия
